id;modulo;punto;capa;fase;tipo;estado_dev;estado_config;estado_global;notas
E0.01;0. Fundación local (stack Hiryx);Scaffolding local Connectia (copiar stack Hiryx/Talent: Vue3+Vite+Pinia+Router+Tailwind | Node+Mongo);U A S;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.02;0. Fundación local (stack Hiryx);Estructura monorepo local: /frontend (U), /admin (A), /backend (S), /docs — sin tocar HIRYX-SAAS;—;Epic 0 — Fundación;Fundación;desarrollado;n/a;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.03;0. Fundación local (stack Hiryx);README local: cómo levantar U/A/S + Mongo en Docker;—;Epic 0 — Fundación;Fundación;desarrollado;n/a;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.04;0. Fundación local (stack Hiryx);Variables de entorno ejemplo (.env.example) y secrets locales;S;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.05;0. Fundación local (stack Hiryx);Conexión MongoDB + índices base multi-tenant (empId);S;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.06;0. Fundación local (stack Hiryx);Modelo Tenant/Empresa mínimo + seed tenant demo;S A;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.07;0. Fundación local (stack Hiryx);Modelo Usuario + roles/capabilities base;S;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.08;0. Fundación local (stack Hiryx);Middleware auth JWT access+refresh (ADR-GAPS §A);S;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.09;0. Fundación local (stack Hiryx);Shell PWA U: layout móvil + desktop companion + router guards;U;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.10;0. Fundación local (stack Hiryx);Shell Admin A: layout + guards por capability;A;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.11;0. Fundación local (stack Hiryx);Design tokens base Connectia (CSS variables) + tipografía default;U A;Epic 0 — Fundación;Fundación;desarrollado;n/a;cerrado;tokens CSS + data-theme light/dark
E0.12;0. Fundación local (stack Hiryx);Service worker / manifest PWA mínimo;U;Epic 0 — Fundación;Fundación;desarrollado;n/a;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.13;0. Fundación local (stack Hiryx);Capa API client (axios) + manejo 401 refresh;U A;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.14;0. Fundación local (stack Hiryx);Feature flags / capabilities por tenant (premisa anti-hardcode);S A;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.15;0. Fundación local (stack Hiryx);Menú dinámico stub + selector de funciones stub;U A S;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.16;0. Fundación local (stack Hiryx);Observabilidad local: request-id + logs estructurados;S;Epic 0 — Fundación;Fundación;desarrollado;n/a;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.17;0. Fundación local (stack Hiryx);Script de progreso: contar estados en CONNECTIA-STATUS.csv;—;Epic 0 — Fundación;Fundación;desarrollado;n/a;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.18;0. Fundación local (stack Hiryx);Checklist no-regresión: placeholders Claro/Grido/ECR/EPEC (sin implementar aún);—;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.19;0. Fundación local (stack Hiryx);OpenAPI/Swagger interno CI (sin try-it público) — esqueleto;S;Epic 0 — Fundación;Fundación;desarrollado;n/a;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
E0.20;0. Fundación local (stack Hiryx);Política allowDesktop en shell (bloqueo total si false);U S;Epic 0 — Fundación;Fundación;desarrollado;configurado;cerrado;Ola0 cerrada 2026-07-27: proto connectia/ operativo
01.01;1. Acceso, sesión e identidad;Acceso por ID (sin mail corporativo);U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;login mode=id legajo 1001
01.02;1. Acceso, sesión e identidad;Login estándar;U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;login + lockout 5/15m
01.03;1. Acceso, sesión e identidad;Pre-login / validación previa;U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;pre-login branding/methods
01.04;1. Acceso, sesión e identidad;Login Azure AD / Microsoft;U A S;Núcleo MVP;Funcional;diferido;diferido;diferido;Azure/Entra adapter fase packs
01.05;1. Acceso, sesión e identidad;Login por token;U A S;Núcleo MVP;Funcional;diferido;diferido;diferido;Login token deep-link fase 2
01.06;1. Acceso, sesión e identidad;Login externo (solo encuestas);U A S;Núcleo MVP;Funcional;diferido;diferido;diferido;Enlace externo encuestas fase 2
01.07;1. Acceso, sesión e identidad;Login legacy por empresa;U A S;Núcleo MVP;Funcional;diferido;diferido;diferido;Legacy por capability pack
01.08;1. Acceso, sesión e identidad;Verificación en dos pasos (email);U A S;Núcleo MVP;Funcional;diferido;diferido;diferido;2FA email fase 2
01.09;1. Acceso, sesión e identidad;Verificación SMS (Twilio);U A S;Núcleo MVP;Funcional;diferido;diferido;diferido;SMS Twilio fase 2
01.10;1. Acceso, sesión e identidad;Recuperación de contraseña;U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;forgot+reset via Gmail EMAIL_* (patron Hiryx) + /reset-password U
01.11;1. Acceso, sesión e identidad;Recordar / reanudar sesión;U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;remember local/session storage
01.12;1. Acceso, sesión e identidad;Cierre de sesión;U A S;Núcleo MVP;Funcional;desarrollado;configurado;cerrado;logout current|all
